Event_Date,Event_Type,Description,Sector,Score_At_Event,Score_1M_Later,Directional_Shift
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,IT,5.75,4.75,-1.0
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,Bank,2.75,4.25,1.5
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,FMCG,2.0,2.0,0.0
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,Auto,4.75,5.25,0.5
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,Pharma,1.5,1.5,0.0
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,Metal,5.5,5.75,0.25
2022-01-21,Union Budget,Post-COVID Pro-Growth CapEx Budget,Realty,5.75,4.5,-1.25
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,IT,5.5,5.75,0.25
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,Bank,4.0,3.0,-1.0
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,FMCG,2.5,3.0,0.5
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,Auto,4.5,2.0,-2.5
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,Pharma,1.25,3.0,1.75
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,Metal,5.25,7.0,1.75
2022-02-01,Union Budget,Massive 35% hike in Capital Expenditure,Realty,5.0,4.25,-0.75
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),IT,3.25,4.0,0.75
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),Bank,3.75,3.25,-0.5
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),FMCG,4.0,5.75,1.75
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),Auto,3.25,5.25,2.0
